epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2801.54,0.79263,0.9368,0.78931,0.95446,0.82791,0.87006,0.90625,0.7438,0.82791,0.87006,0.90625,0.73649,0.72255,0.90878,0.70297,0.93321,0.007129,0.007129,0.007129
31,2887.87,0.78784,0.9313,0.75687,0.95806,0.80204,0.91422,0.90813,0.75256,0.80271,0.91487,0.90816,0.72999,0.72161,0.91061,0.62874,0.93175,0.00703,0.00703,0.00703
32,2995.12,0.74768,0.90243,0.72445,0.93812,0.85561,0.86302,0.87383,0.73069,0.85385,0.8618,0.87273,0.72343,0.71542,0.90386,0.65064,0.93172,0.006931,0.006931,0.006931
33,3093.66,0.76757,0.93317,0.7442,0.94593,0.92704,0.91113,0.94387,0.79946,0.92704,0.91113,0.94387,0.78425,0.69067,0.91869,0.59058,0.92617,0.006832,0.006832,0.006832
34,3181.85,0.79138,0.9782,0.75737,0.95474,0.91785,0.91645,0.9546,0.79694,0.91718,0.9158,0.95423,0.78699,0.75603,0.9251,0.6006,0.94254,0.006733,0.006733,0.006733
35,3269.66,0.77576,0.9213,0.72655,0.94823,0.93252,0.93278,0.9646,0.82433,0.93252,0.93278,0.9646,0.79812,0.69974,0.9045,0.57774,0.92122,0.006634,0.006634,0.006634
36,3354.69,0.74997,0.95265,0.71864,0.93365,0.94148,0.92113,0.95742,0.82039,0.94148,0.92113,0.95741,0.79223,0.67205,0.89473,0.59153,0.92181,0.006535,0.006535,0.006535
37,3438.04,0.69861,0.90161,0.68776,0.92674,0.92502,0.90444,0.95264,0.81207,0.92502,0.90444,0.95276,0.7919,0.69066,0.91004,0.59553,0.92468,0.006436,0.006436,0.006436
38,3521.28,0.7414,0.92248,0.66948,0.91726,0.90519,0.94831,0.95704,0.82251,0.90519,0.94831,0.95747,0.80806,0.68152,0.88978,0.57315,0.91796,0.006337,0.006337,0.006337
39,3604.86,0.74047,0.93827,0.67448,0.92715,0.89973,0.91468,0.95124,0.80936,0.89287,0.93815,0.95188,0.80401,0.67255,0.8978,0.55885,0.9128,0.006238,0.006238,0.006238
40,3687.69,0.73346,0.95161,0.67123,0.94733,0.93914,0.94602,0.96325,0.81663,0.93914,0.94602,0.96271,0.79942,0.67808,0.92235,0.57082,0.91522,0.006139,0.006139,0.006139
41,3772.26,0.75229,0.95467,0.65964,0.9189,0.94711,0.92506,0.96261,0.81135,0.94575,0.92376,0.96183,0.78631,0.71316,0.95947,0.55388,0.92426,0.00604,0.00604,0.00604
