epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.756,2.10384,3.87143,3.26881,1.77524,0.36717,0.02472,0.02433,0.00898,0.02304,0.13452,0.02599,0.01397,3.18213,15.8329,11.7527,4.9415,0.0703614,0.00329317,0.00329317
2,449.977,2.21862,3.62326,3.09115,1.83333,0.27823,0.2142,0.15336,0.08628,0.27711,0.21346,0.15094,0.09011,2.50419,5.10227,6.76384,2.34898,0.0402958,0.0065609,0.0065609
3,656.347,2.17957,3.55377,2.92545,1.82181,0.39424,0.16714,0.12809,0.07502,0.38972,0.16261,0.12211,0.06286,2.477,4.92847,3.82128,2.29334,0.0101642,0.00976263,0.00976263
4,893.543,2.19561,3.63561,2.9662,1.80847,0.20849,0.25394,0.16948,0.11189,0.21004,0.25351,0.17015,0.12299,2.33218,3.56466,4.79455,2.02605,0.009703,0.009703,0.009703
5,1112.79,2.16141,3.49841,2.81069,1.80859,0.57264,0.25727,0.24798,0.15496,0.57133,0.25588,0.24749,0.16069,2.34375,3.76266,3.39822,2.19211,0.009604,0.009604,0.009604
6,1338.91,2.1681,3.62611,2.8461,1.80573,0.65983,0.2515,0.26486,0.18117,0.6742,0.25503,0.26448,0.18269,2.25245,3.49192,3.13057,1.92708,0.009505,0.009505,0.009505
7,1552.89,2.04665,3.48658,2.73065,1.75318,0.64026,0.29584,0.26371,0.1789,0.6405,0.2985,0.26164,0.17953,2.21365,3.45815,2.89717,1.90895,0.009406,0.009406,0.009406
8,1766.93,1.94431,3.40265,2.56367,1.68006,0.61626,0.29827,0.28013,0.2051,0.61626,0.29827,0.27872,0.20299,2.13939,3.41525,2.83447,1.91497,0.009307,0.009307,0.009307
9,2004.55,2.01029,3.58224,2.62189,1.74812,0.63588,0.30716,0.28423,0.20875,0.63384,0.30578,0.28142,0.19799,2.14111,3.33991,2.82728,1.9411,0.009208,0.009208,0.009208
10,2223.55,1.92891,3.4054,2.4909,1.68747,0.66933,0.30346,0.30963,0.21979,0.66616,0.30138,0.30034,0.21116,2.10517,3.354,2.68319,1.85648,0.009109,0.009109,0.009109
11,2429.66,1.92788,3.49303,2.53306,1.70233,0.73382,0.30652,0.31669,0.23099,0.73314,0.30617,0.31446,0.22938,2.09749,3.3047,2.74572,1.85128,0.00901,0.00901,0.00901
12,2648.84,1.83793,3.35292,2.36368,1.61617,0.66603,0.31706,0.29522,0.20988,0.66494,0.31637,0.29314,0.20521,2.139,3.36904,2.73192,1.88887,0.008911,0.008911,0.008911
13,2869.41,1.87008,3.45781,2.41292,1.64409,0.82,0.31399,0.34237,0.2545,0.81799,0.31297,0.339,0.24744,2.065,3.32157,2.78991,1.88605,0.008812,0.008812,0.008812
14,3086.03,1.80523,3.36474,2.37384,1.61475,0.82473,0.31556,0.33693,0.25431,0.82473,0.31556,0.3337,0.24652,2.02878,3.31139,2.61944,1.88051,0.008713,0.008713,0.008713
15,3304.66,1.77046,3.32786,2.22271,1.60636,0.78017,0.30677,0.32324,0.23426,0.78168,0.30457,0.31804,0.22188,2.0884,3.30971,2.69107,1.89233,0.008614,0.008614,0.008614
16,3514.11,1.76019,3.31393,2.25237,1.58731,0.86546,0.32465,0.35059,0.26836,0.86569,0.32433,0.34722,0.24836,2.0154,3.31275,2.51892,1.85945,0.008515,0.008515,0.008515
17,3721.63,1.78002,3.40035,2.25703,1.62317,0.85017,0.32477,0.36307,0.28503,0.84951,0.32442,0.35794,0.26935,1.96894,3.28251,2.46673,1.83611,0.008416,0.008416,0.008416
18,3931.1,1.69134,3.30994,2.15304,1.55448,0.84463,0.3221,0.35056,0.27241,0.843,0.32102,0.34392,0.2574,1.97656,3.294,2.50186,1.84974,0.008317,0.008317,0.008317
19,4138.21,1.69818,3.26946,2.13637,1.55517,0.88433,0.3218,0.36371,0.28547,0.88298,0.32111,0.35869,0.2774,1.97346,3.25105,2.46641,1.84628,0.008218,0.008218,0.008218
