epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,4343.32,1.8415,3.5428,2.34518,1.64843,0.70458,0.33423,0.34994,0.26545,0.68288,0.33534,0.34648,0.26823,1.99521,3.29315,2.50274,1.83204,0.008119,0.008119,0.008119
21,4550.42,1.79479,3.40184,2.23208,1.59531,0.77025,0.34293,0.36369,0.28015,0.77025,0.34293,0.35972,0.28421,2.01518,3.26981,2.48682,1.84052,0.00802,0.00802,0.00802
22,4757.95,1.75939,3.31045,2.16055,1.57299,0.83261,0.31488,0.35947,0.27915,0.83261,0.31488,0.35479,0.27323,1.96456,3.26719,2.53164,1.82205,0.007921,0.007921,0.007921
23,4966.82,1.71667,3.26148,2.165,1.57891,0.74571,0.35235,0.3646,0.27769,0.74438,0.35166,0.36131,0.27181,1.97335,3.26168,2.4739,1.8567,0.007822,0.007822,0.007822
24,5183.9,1.66962,3.32028,2.07837,1.55799,0.93894,0.32329,0.36337,0.28878,0.93756,0.32251,0.3586,0.26726,1.96888,3.25986,2.46011,1.84738,0.007723,0.007723,0.007723
25,5394.36,1.62398,3.27569,2.02837,1.52483,0.73714,0.34199,0.36302,0.28797,0.7353,0.34095,0.3569,0.26889,1.92547,3.24175,2.48678,1.8289,0.007624,0.007624,0.007624
26,5606.27,1.66043,3.2914,2.0534,1.5458,0.84413,0.35162,0.37094,0.29553,0.84413,0.35162,0.36773,0.28959,1.92608,3.22227,2.41398,1.84976,0.007525,0.007525,0.007525
27,5822.66,1.66577,3.2934,2.04504,1.54974,0.88247,0.34921,0.37097,0.29837,0.88114,0.34852,0.36594,0.28618,1.89743,3.2236,2.39634,1.82975,0.007426,0.007426,0.007426
28,6029,1.66294,3.29578,2.07017,1.571,0.80211,0.3475,0.36501,0.29368,0.80144,0.34715,0.36031,0.28103,1.91824,3.20633,2.37419,1.82628,0.007327,0.007327,0.007327
29,6237.66,1.65612,3.37508,2.02979,1.54796,0.84317,0.35805,0.38133,0.30623,0.84006,0.35631,0.37502,0.28778,1.89733,3.21812,2.34206,1.83709,0.007228,0.007228,0.007228
30,6442.07,1.59991,3.25365,2.00082,1.52239,0.8496,0.35442,0.37909,0.30126,0.84961,0.35405,0.37156,0.29364,1.89429,3.22214,2.39185,1.85306,0.007129,0.007129,0.007129
31,6668.53,1.61994,3.33353,2.02365,1.53716,0.83219,0.35751,0.37227,0.29888,0.83159,0.35716,0.36733,0.28654,1.90548,3.28446,2.49774,1.84177,0.00703,0.00703,0.00703
32,6871.54,1.64726,3.26262,2.06551,1.5805,0.83938,0.34822,0.36776,0.28959,0.84412,0.34961,0.36239,0.28002,1.89615,3.2389,2.44884,1.86849,0.006931,0.006931,0.006931
33,7076.23,1.60826,3.21108,1.97365,1.52609,0.80398,0.34709,0.37788,0.30332,0.80398,0.34709,0.37195,0.29054,1.8985,3.19835,2.35112,1.86222,0.006832,0.006832,0.006832
34,7282.92,1.63027,3.2639,2.00319,1.5443,0.9365,0.35113,0.38462,0.30749,0.93515,0.35043,0.37919,0.30129,1.89129,3.18457,2.34837,1.86185,0.006733,0.006733,0.006733
35,7486.49,1.61782,3.31629,1.99178,1.54106,0.83232,0.3573,0.38099,0.30722,0.83284,0.35763,0.37317,0.30402,1.84963,3.18793,2.32732,1.86836,0.006634,0.006634,0.006634
36,7696.01,1.61718,3.34678,1.99432,1.55604,0.92142,0.36338,0.39069,0.31609,0.92154,0.36372,0.38238,0.30567,1.83506,3.20264,2.31192,1.84675,0.006535,0.006535,0.006535
37,7900.54,1.60435,3.23755,1.94398,1.53815,0.91867,0.35992,0.38413,0.31177,0.91933,0.36026,0.37983,0.29916,1.8478,3.19356,2.33913,1.81772,0.006436,0.006436,0.006436
38,8113.82,1.63427,3.32947,2.01223,1.54235,0.90046,0.36275,0.39105,0.30433,0.89984,0.3624,0.38174,0.29041,1.89469,3.20783,2.3613,1.83824,0.006337,0.006337,0.006337
39,8323.66,1.59069,3.27699,1.88738,1.48597,0.86364,0.35503,0.37861,0.30763,0.86298,0.35469,0.37398,0.29246,1.85949,3.18676,2.34554,1.82884,0.006238,0.006238,0.006238
40,8529.97,1.49422,3.1078,1.78936,1.44722,0.92251,0.36415,0.39029,0.3164,0.92251,0.36415,0.38241,0.30843,1.84283,3.17077,2.28698,1.839,0.006139,0.006139,0.006139
41,8741.81,1.54969,3.25536,1.86779,1.50956,0.91769,0.36306,0.3869,0.3133,0.91702,0.36272,0.37929,0.29451,1.83906,3.17204,2.33516,1.82572,0.00604,0.00604,0.00604
42,8947.16,1.60399,3.34334,1.98396,1.52814,0.90917,0.36017,0.39321,0.31816,0.90917,0.36017,0.38314,0.31125,1.83274,3.17861,2.33379,1.81072,0.005941,0.005941,0.005941
43,9152.13,1.56276,3.23494,1.95048,1.50917,0.86144,0.36411,0.39034,0.3165,0.86361,0.36395,0.38156,0.30168,1.82213,3.16085,2.29146,1.84203,0.005842,0.005842,0.005842
44,9361.29,1.5801,3.28387,1.89879,1.51913,0.91551,0.3622,0.40732,0.32499,0.91399,0.36152,0.39443,0.31153,1.82332,3.17704,2.28699,1.82114,0.005743,0.005743,0.005743
45,9580.11,1.60408,3.35488,1.9837,1.52917,0.88496,0.36283,0.39338,0.31935,0.88496,0.36283,0.38322,0.30682,1.84655,3.17903,2.28157,1.81877,0.005644,0.005644,0.005644
46,9826.39,1.67283,3.42363,2.0506,1.56773,0.90035,0.36809,0.38808,0.31769,0.90035,0.36809,0.38148,0.30821,1.82178,3.15678,2.2787,1.81271,0.005545,0.005545,0.005545
47,10068,1.57159,3.33767,1.89284,1.50738,0.88577,0.36596,0.39454,0.32128,0.88577,0.36596,0.38576,0.31346,1.82159,3.15853,2.2755,1.82828,0.005446,0.005446,0.005446
48,10284.4,1.63928,3.40843,1.99914,1.56382,0.89634,0.36271,0.39909,0.32537,0.89634,0.36271,0.38805,0.31016,1.8171,3.16034,2.26257,1.82705,0.005347,0.005347,0.005347
49,10538.2,1.61037,3.38649,1.97168,1.5492,0.95143,0.3608,0.39619,0.3237,0.95008,0.36011,0.38567,0.30427,1.78968,3.15733,2.24847,1.8036,0.005248,0.005248,0.005248
50,10804.1,1.43533,3.05103,1.76222,1.4327,0.92822,0.36407,0.39455,0.32044,0.92822,0.36407,0.38312,0.31166,1.78876,3.13455,2.24063,1.78987,0.005149,0.005149,0.005149
51,11065.7,1.4672,3.15261,1.77263,1.46001,0.95852,0.36614,0.40208,0.32561,0.95852,0.36614,0.38979,0.3091,1.80589,3.12802,2.24231,1.78765,0.00505,0.00505,0.00505
52,11329.5,1.55062,3.2274,1.85546,1.50926,0.91976,0.36584,0.4033,0.32663,0.91976,0.36584,0.39155,0.31965,1.7848,3.13117,2.23998,1.8207,0.004951,0.004951,0.004951
53,11614.7,1.42167,3.10269,1.67602,1.41332,0.94907,0.36235,0.39651,0.32546,0.94907,0.36235,0.38366,0.31178,1.77717,3.15159,2.22014,1.81756,0.004852,0.004852,0.004852
54,11876.2,1.50798,3.20939,1.79858,1.48338,0.94272,0.36514,0.40305,0.32949,0.94207,0.3648,0.38902,0.31553,1.76321,3.12027,2.21644,1.79907,0.004753,0.004753,0.004753
55,12128.3,1.57242,3.34024,1.9376,1.5244,0.94099,0.36248,0.40788,0.33598,0.94107,0.36288,0.39683,0.32385,1.7737,3.11711,2.23472,1.78477,0.004654,0.004654,0.004654
56,12393.8,1.51604,3.28946,1.83309,1.47832,0.95545,0.36499,0.40251,0.3297,0.95545,0.36499,0.39332,0.31531,1.78888,3.11475,2.26279,1.79008,0.004555,0.004555,0.004555
57,12693.9,1.41678,3.12786,1.67817,1.41516,0.94977,0.36514,0.39465,0.32963,0.94977,0.36514,0.38752,0.31371,1.80306,3.11274,2.25357,1.7872,0.004456,0.004456,0.004456
58,12995.7,1.45858,3.17261,1.73835,1.43953,0.95812,0.36292,0.40582,0.33591,0.95812,0.36292,0.39386,0.31407,1.79297,3.11698,2.2349,1.78243,0.004357,0.004357,0.004357
59,13295.7,1.41614,3.11514,1.68076,1.41736,0.94089,0.36652,0.39751,0.32583,0.94089,0.36652,0.38532,0.3133,1.7608,3.11083,2.2361,1.79486,0.004258,0.004258,0.004258
60,13555.2,1.42277,3.10179,1.6799,1.42129,0.91845,0.36412,0.4013,0.33396,0.91845,0.36412,0.39003,0.31975,1.75767,3.10205,2.21349,1.7738,0.004159,0.004159,0.004159
61,13813.6,1.4026,3.06331,1.64859,1.39665,0.95329,0.36442,0.40962,0.33888,0.95262,0.36407,0.39315,0.31207,1.73607,3.10159,2.19093,1.7898,0.00406,0.00406,0.00406
62,14072.7,1.4133,3.14328,1.68227,1.43558,0.9264,0.36633,0.40978,0.33745,0.92667,0.36633,0.39472,0.32338,1.73086,3.09631,2.17575,1.79799,0.003961,0.003961,0.003961
63,14333.1,1.43164,3.17511,1.7115,1.45079,0.96697,0.36679,0.40659,0.33943,0.96697,0.36679,0.39454,0.32511,1.74244,3.09254,2.22332,1.78926,0.003862,0.003862,0.003862
64,14572.3,1.4282,3.16807,1.71396,1.43193,0.96387,0.36308,0.40023,0.33014,0.96387,0.36308,0.38518,0.31289,1.74747,3.09555,2.21273,1.78109,0.003763,0.003763,0.003763
65,14801.5,1.41823,3.18089,1.67312,1.42321,0.93563,0.36664,0.39976,0.32873,0.9363,0.36699,0.38596,0.31364,1.75276,3.12059,2.18503,1.79238,0.003664,0.003664,0.003664
66,15030.5,1.3924,3.0814,1.64537,1.40801,0.95883,0.36616,0.41294,0.34247,0.9589,0.36612,0.40087,0.3275,1.73434,3.09622,2.17845,1.77344,0.003565,0.003565,0.003565
67,15267,1.45555,3.25166,1.72636,1.45603,0.96147,0.36699,0.41482,0.34124,0.96147,0.36699,0.40001,0.32939,1.73518,3.08004,2.1691,1.78426,0.003466,0.003466,0.003466
68,15499.7,1.36684,3.12815,1.60065,1.38694,0.96908,0.36652,0.41639,0.34474,0.96945,0.36691,0.40132,0.32662,1.71081,3.07676,2.17449,1.76627,0.003367,0.003367,0.003367
69,15696.7,1.36872,3.00182,1.64185,1.39683,0.96479,0.36725,0.41023,0.33926,0.96479,0.36725,0.39435,0.32448,1.73916,3.07639,2.18339,1.76074,0.003268,0.003268,0.003268
70,15898.7,1.47659,3.22624,1.78586,1.46658,0.96231,0.36654,0.40691,0.33732,0.96231,0.36654,0.39303,0.3236,1.72015,3.07132,2.183,1.76056,0.003169,0.003169,0.003169
71,16096.5,1.48849,3.27948,1.80291,1.49899,0.95708,0.36758,0.41238,0.34298,0.95708,0.36758,0.39473,0.32484,1.70874,3.103,2.16465,1.76742,0.00307,0.00307,0.00307
72,16295.1,1.47303,3.26214,1.7565,1.46644,0.96256,0.36653,0.4121,0.34407,0.96256,0.36653,0.39677,0.32889,1.70852,3.06355,2.1328,1.77122,0.002971,0.002971,0.002971
73,16498.6,1.42591,3.19564,1.66862,1.42381,0.96137,0.36473,0.4095,0.33751,0.96137,0.36473,0.39297,0.31382,1.75057,3.09208,2.17172,1.77586,0.002872,0.002872,0.002872
74,16696.5,1.388,3.17414,1.6489,1.41197,0.96713,0.36607,0.41075,0.33732,0.96713,0.36607,0.38937,0.32035,1.71709,3.06339,2.14888,1.79368,0.002773,0.002773,0.002773
75,16894.6,1.47399,3.24867,1.76447,1.48746,0.95328,0.36838,0.4171,0.3453,0.95328,0.36838,0.39762,0.32654,1.69749,3.06328,2.12531,1.78746,0.002674,0.002674,0.002674
76,17092.9,1.42665,3.19451,1.68542,1.44039,0.96649,0.36617,0.4119,0.34417,0.96605,0.36592,0.39755,0.32713,1.71462,3.0654,2.1563,1.75216,0.002575,0.002575,0.002575
77,17290.3,1.3817,3.14195,1.67085,1.41505,0.95929,0.36622,0.41061,0.34483,0.9614,0.36563,0.39486,0.32768,1.69672,3.04759,2.14665,1.76238,0.002476,0.002476,0.002476
78,17488.5,1.4155,3.1446,1.68651,1.44657,0.96701,0.36677,0.41474,0.34538,0.96701,0.36677,0.39693,0.32543,1.70244,3.04616,2.15492,1.7795,0.002377,0.002377,0.002377
79,17687.7,1.43696,3.23139,1.70879,1.4307,0.96547,0.36864,0.4112,0.34522,0.96547,0.36864,0.39876,0.32729,1.7168,3.06379,2.14615,1.73381,0.002278,0.002278,0.002278
80,17885.6,1.48302,3.32307,1.81792,1.48712,0.96836,0.36732,0.41197,0.34204,0.96836,0.36732,0.39412,0.3238,1.67266,3.04418,2.12367,1.75261,0.002179,0.002179,0.002179
81,18086.1,1.35505,3.12046,1.58974,1.39862,0.96345,0.36842,0.42181,0.3513,0.96345,0.36842,0.3999,0.33083,1.67023,3.03801,2.1236,1.74842,0.00208,0.00208,0.00208
82,18285.4,1.40695,3.22686,1.67678,1.43578,0.96729,0.36769,0.42361,0.35438,0.96684,0.36743,0.40417,0.33236,1.67167,3.03007,2.11238,1.7276,0.001981,0.001981,0.001981
83,18487.7,1.4246,3.21353,1.66775,1.4273,0.9666,0.36748,0.41723,0.35259,0.96726,0.36699,0.40117,0.33282,1.6834,3.03541,2.12721,1.73084,0.001882,0.001882,0.001882
84,18686.8,1.39442,3.21047,1.64178,1.41555,0.96934,0.3685,0.41756,0.34834,0.9685,0.36794,0.39727,0.32653,1.65241,3.02804,2.08609,1.73598,0.001783,0.001783,0.001783
85,18888.6,1.43649,3.26628,1.75074,1.48039,0.96319,0.36823,0.42125,0.35147,0.96384,0.36743,0.39964,0.33105,1.65022,3.0187,2.08078,1.73885,0.001684,0.001684,0.001684
86,19089.1,1.37826,3.17505,1.6576,1.41691,0.96648,0.369,0.42403,0.35437,0.96542,0.36858,0.40293,0.33286,1.65228,3.01333,2.06897,1.7267,0.001585,0.001585,0.001585
87,19288.3,1.38083,3.16826,1.62874,1.4188,0.96561,0.36902,0.42658,0.35725,0.96462,0.36858,0.40636,0.33607,1.6474,3.01017,2.06899,1.72662,0.001486,0.001486,0.001486
88,19488.2,1.30792,3.08919,1.54057,1.37227,0.96317,0.36914,0.42995,0.3597,0.96498,0.36831,0.40796,0.33798,1.65243,3.01206,2.06235,1.73879,0.001387,0.001387,0.001387
89,19685,1.30916,3.07351,1.5444,1.36696,0.96348,0.36912,0.42748,0.35794,0.96551,0.36829,0.40578,0.3364,1.64668,3.00849,2.06409,1.74874,0.001288,0.001288,0.001288
90,19923.8,1.34933,3.11521,1.59338,1.40544,0.96592,0.36849,0.42511,0.35745,0.96592,0.36849,0.40354,0.33379,1.63909,2.99965,2.05593,1.74797,0.001189,0.001189,0.001189
91,20120.2,1.43466,3.17393,1.75591,1.50808,0.96409,0.36898,0.41777,0.34907,0.96409,0.36898,0.39441,0.32068,1.6365,3.00481,2.07083,1.72669,0.00109,0.00109,0.00109
92,20313.7,1.34608,3.16482,1.61123,1.44239,0.96642,0.3684,0.42291,0.35316,0.96642,0.3684,0.3984,0.31562,1.62154,2.99872,2.06271,1.72072,0.000991,0.000991,0.000991
93,20505,1.42355,3.1854,1.7474,1.52807,0.9552,0.37087,0.42475,0.3565,0.96508,0.36865,0.40278,0.32474,1.62078,2.9955,2.05702,1.71077,0.000892,0.000892,0.000892
94,20696.5,1.34543,3.18608,1.60261,1.46718,0.96548,0.36858,0.42853,0.35873,0.96548,0.36858,0.40481,0.33186,1.62026,2.99074,2.04949,1.70129,0.000793,0.000793,0.000793
95,20887.7,1.39636,3.17982,1.6767,1.50271,0.96682,0.36837,0.43194,0.36266,0.96682,0.36837,0.40839,0.33572,1.60608,2.98582,2.03181,1.69285,0.000694,0.000694,0.000694
96,21078.6,1.38779,3.17206,1.62469,1.47354,0.96655,0.36862,0.43035,0.36164,0.96655,0.36862,0.40842,0.33471,1.61273,2.97839,2.03066,1.69299,0.000595,0.000595,0.000595
97,21268.1,1.36048,3.15802,1.63553,1.48262,0.96722,0.36861,0.43186,0.3616,0.96722,0.36861,0.40782,0.33542,1.60585,2.97453,2.02174,1.69325,0.000496,0.000496,0.000496
98,21457.7,1.32992,3.09098,1.57249,1.46385,0.96755,0.3686,0.43142,0.3607,0.96755,0.3686,0.40654,0.33446,1.59514,2.96831,2.00654,1.69226,0.000397,0.000397,0.000397
99,21647.6,1.38801,3.1286,1.64472,1.49131,0.96117,0.37088,0.43176,0.36238,0.96513,0.36968,0.40678,0.33465,1.58982,2.96749,2.00347,1.68658,0.000298,0.000298,0.000298
100,21839.1,1.35074,3.14188,1.61309,1.46784,0.96197,0.37225,0.431,0.3634,0.96098,0.37168,0.40696,0.33546,1.59305,2.96543,2.01026,1.67911,0.000199,0.000199,0.000199
